aBuf,bBuf,cBuf,dBuf,deltaA,deltaB,deltaC,deltaD
0.0000,112309.0000,0.0000,0.0000,,,,
0.0000,113774.0000,0.0000,0.0000,,,,
0.0000,115239.0000,0.0000,0.0000,,,,
0.0000,116703.0000,0.0000,0.0000,,,,
0.0000,118168.0000,0.0000,0.0000,,,,
0.0000,119633.0000,0.0000,0.0000,,,,
0.0000,121098.0000,0.0000,0.0000,,,,
0.0000,122563.0000,0.0000,0.0000,,,,
0.0000,124028.0000,0.0000,0.0000,,,,
0.0000,125493.0000,0.0000,0.0000,,,,
0.0000,126957.0000,0.0000,0.0000,,,,
0.0000,128422.0000,0.0000,0.0000,,,,
0.0000,129887.0000,0.0000,0.0000,,,,
0.0000,131342.0000,0.0000,0.0000,,,,
0.0000,132704.0000,0.0000,0.0000,,,,
0.0000,133951.0000,0.0000,0.0000,,,,
0.0000,135083.0000,0.0000,0.0000,,,,
0.0000,136098.0000,0.0000,0.0000,,,,
0.0000,136996.0000,0.0000,0.0000,,,,
0.0000,137776.0000,0.0000,0.0000,,,,
0.0000,138440.0000,0.0000,0.0000,,,,
0.0000,138986.0000,0.0000,0.0000,,,,
0.0000,139415.0000,0.0000,0.0000,,,,
0.0000,139726.0000,0.0000,0.0000,,,,
0.0000,139921.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
0.0000,0.0000,0.0000,0.0000,,,,
